"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,1.49,"yes","strain2_reentered_before_strain1_escaped",0.999999999991021,0.888396510292803,8.97859564474857e-12,0.111603489707197,0.888396510284826,0.111603489706195,7.97655303812478e-12,1.00204260662378e-12,NA
1.2,1.5,"yes","strain2_reentered_before_strain1_escaped",0.999999999995352,0.896085491025332,4.64761562568583e-12,0.103914508974668,0.896085491021167,0.103914508974186,4.16466093003969e-12,4.8295469564614e-13,NA
1.2,1.51,"yes","strain2_reentered_before_strain1_escaped",0.999999999997565,0.903139760313748,2.43505215991036e-12,0.096860239686252,0.903139760311549,0.0968602396860162,2.19919242405291e-12,2.35859735857443e-13,NA
1.2,1.52,"yes","strain2_reentered_before_strain1_escaped",0.999999999998709,0.909615405400007,1.29085631073167e-12,0.0903845945999928,0.909615405398833,0.0903845945998761,1.17418278639935e-12,1.16673524332324e-13,NA
1.2,1.53,"yes","strain2_reentered_before_strain1_escaped",0.999999999999308,0.915563894566019,6.92224055853785e-13,0.0844361054339808,0.915563894565385,0.0844361054339224,6.33775352489777e-13,5.8448703364008e-14,NA
1.2,1.54,"yes","strain2_reentered_before_strain1_escaped",0.999999999999625,0.921031640899579,3.75366404625765e-13,0.0789683591004213,0.921031640899233,0.0789683591003917,3.45724335591044e-13,2.96420690347215e-14,NA
1.2,1.55,"yes","strain2_reentered_before_strain1_escaped",0.999999999999794,0.926061251558498,2.05835348765504e-13,0.0739387484415022,0.926061251558307,0.0739387484414869,1.90616140692763e-13,1.52192080727415e-14,NA
1.2,1.56,"yes","strain2_reentered_before_strain1_escaped",0.999999999999886,0.930691261135805,1.14019904629004e-13,0.0693087388641952,0.930691261135699,0.0693087388641873,1.06117328833752e-13,7.90257579525205e-15,NA
1.2,1.57,"yes","strain2_reentered_before_strain1_escaped",0.999999999999936,0.934956675837163,6.38378239159465e-14,0.0650433241628369,0.934956675837103,0.0650433241628327,5.96855996411315e-14,4.15222427481501e-15,NA
1.2,1.58,"yes","strain2_reentered_before_strain1_escaped",0.999999999999964,0.938889278035877,3.60822483003176e-14,0.0611107219641227,0.938889278035843,0.0611107219641205,3.38772360565964e-14,2.20501224372115e-15,NA
1.2,1.59,"yes","strain2_reentered_before_strain1_escaped",0.999999999999979,0.942518009655946,2.06501482580279e-14,0.057481990344054,0.942518009655927,0.0574819903440528,1.94631366352567e-14,1.18701162277124e-15,NA
1.2,1.6,"yes","strain2_reentered_before_strain1_escaped",0.999999999999988,0.945869042130764,1.18793863634892e-14,0.0541309578692363,0.945869042130753,0.0541309578692356,1.12363438007348e-14,6.43042562754412e-16,NA
1.2,1.61,"yes","strain2_reentered_before_strain1_escaped",0.999999999999993,0.948966212480749,6.88338275267597e-15,0.051033787519251,0.948966212480742,0.0510337875192507,6.53209765986223e-15,3.51285092813743e-16,NA
1.2,1.62,"yes","strain2_reentered_before_strain1_escaped",0.999999999999996,0.951831044790441,4.10782519111308e-15,0.0481689552095589,0.951831044790437,0.0481689552095587,3.90995554347366e-15,1.97869647639424e-16,NA
1.2,1.63,"yes","strain2_reentered_before_strain1_escaped",0.999999999999998,0.954483386114542,2.44249065417534e-15,0.0455166138854577,0.95448338611454,0.0455166138854576,2.33131675015041e-15,1.11173904024938e-16,NA
1.2,1.64,"yes","strain2_reentered_before_strain1_escaped",0.999999999999999,0.956940874878973,1.4432899320127e-15,0.0430591251210275,0.956940874878971,0.0430591251210274,1.38114313024425e-15,6.21468017684543e-17,NA
1.2,1.65,"yes","strain2_reentered_before_strain1_escaped",0.999999999999999,0.95921987064497,8.88178419700125e-16,0.0407801293550303,0.959219870644969,0.0407801293550302,8.51958388854408e-16,3.62200308457175e-17,NA
1.2,1.66,"yes","strain2_reentered_before_strain1_escaped",0.999999999999999,0.961335089862996,5.55111512312578e-16,0.0386649101370036,0.961335089862996,0.0386649101370036,5.33648175572996e-16,2.1463336739582e-17,NA
1.2,1.67,"yes","strain2_reentered_before_strain1_escaped",1,0.963299943751056,3.33066907387547e-16,0.0367000562489443,0.963299943751055,0.0367000562489443,3.20843333151762e-16,1.22235742357849e-17,NA
1.2,1.68,"yes","strain2_reentered_before_strain1_escaped",1,0.965126572598281,2.22044604925031e-16,0.0348734274017185,0.965126572598281,0.0348734274017185,2.14301148515235e-16,7.74345640979635e-18,NA
