"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,24.7,50,200,1,200,200,1,26119
"R0",1.5,1.5,10000,0.125,1e-04,24.8,50,200,1,200,200,1,25814
"R0",1.5,1.5,10000,0.125,1e-04,24.9,50,200,1,200,200,1,25551
"R0",1.5,1.5,10000,0.125,1e-04,25,50,200,1,200,200,1,25385
"R0",1.5,1.5,10000,0.125,1e-04,25.1,50,200,1,200,200,1,25177
"R0",1.5,1.5,10000,0.125,1e-04,25.2,50,200,1,200,200,1,24983
"R0",1.5,1.5,10000,0.125,1e-04,25.3,50,200,1,200,200,1,24865
"R0",1.5,1.5,10000,0.125,1e-04,25.4,50,200,1,200,200,1,24761
"R0",1.5,1.5,10000,0.125,1e-04,25.5,50,200,1,200,200,1,24608
"R0",1.5,1.5,10000,0.125,1e-04,25.6,50,200,1,200,200,1,24335
"R0",1.5,1.5,10000,0.125,1e-04,25.7,50,200,1,200,200,1,24276
"R0",1.5,1.5,10000,0.125,1e-04,25.8,50,200,1,200,200,1,24187
"R0",1.5,1.5,10000,0.125,1e-04,25.9,50,200,1,200,200,1,24119
"R0",1.5,1.5,10000,0.125,1e-04,26,50,200,1,200,200,1,23978
"R0",1.5,1.5,10000,0.125,1e-04,26.1,50,200,1,200,200,1,23851
"R0",1.5,1.5,10000,0.125,1e-04,26.2,50,200,1,200,200,1,23712
"R0",1.5,1.5,10000,0.125,1e-04,26.3,50,200,1,200,200,1,23617
"R0",1.5,1.5,10000,0.125,1e-04,26.4,50,200,1,200,200,1,23516
"R0",1.5,1.5,10000,0.125,1e-04,26.5,50,200,1,200,200,1,23545
"R0",1.5,1.5,10000,0.125,1e-04,26.6,50,200,1,200,200,1,23448
"R0",1.5,1.5,10000,0.125,1e-04,26.7,50,200,1,200,200,1,23393
"R0",1.5,1.5,10000,0.125,1e-04,26.8,50,200,1,200,200,1,23333
"R0",1.5,1.5,10000,0.125,1e-04,26.9,50,200,1,200,200,1,23325
"R0",1.5,1.5,10000,0.125,1e-04,27,50,200,1,200,200,1,23245
"R0",1.5,1.5,10000,0.125,1e-04,27.1,50,200,1,200,200,1,23212
"R0",1.5,1.5,10000,0.125,1e-04,27.2,50,200,1,200,200,1,23176
"R0",1.5,1.5,10000,0.125,1e-04,27.3,50,200,1,200,200,1,23097
"R0",1.5,1.5,10000,0.125,1e-04,27.4,50,200,1,200,200,1,23024
"R0",1.5,1.5,10000,0.125,1e-04,27.5,50,200,1,200,200,1,23084
"R0",1.5,1.5,10000,0.125,1e-04,27.6,50,200,1,200,200,1,23053
"R0",1.5,1.5,10000,0.125,1e-04,27.7,50,200,1,200,200,1,23130
"R0",1.5,1.5,10000,0.125,1e-04,27.8,50,200,1,200,200,1,23093
"R0",1.5,1.5,10000,0.125,1e-04,27.9,50,200,1,200,200,1,23077
"R0",1.5,1.5,10000,0.125,1e-04,28,50,200,1,200,200,1,23149
"R0",1.5,1.5,10000,0.125,1e-04,28.1,50,200,1,200,200,1,23272
"R0",1.5,1.5,10000,0.125,1e-04,28.2,50,200,1,200,200,1,23285
"R0",1.5,1.5,10000,0.125,1e-04,28.3,50,200,1,200,200,1,23370
"R0",1.5,1.5,10000,0.125,1e-04,28.4,50,200,1,200,200,1,23289
"R0",1.5,1.5,10000,0.125,1e-04,28.5,50,200,1,200,200,1,23333
"R0",1.5,1.5,10000,0.125,1e-04,28.6,50,200,1,200,200,1,23383
"R0",1.5,1.5,10000,0.125,1e-04,28.7,50,200,1,200,200,1,23502
"R0",1.5,1.5,10000,0.125,1e-04,28.8,50,200,1,200,200,1,23537
"R0",1.5,1.5,10000,0.125,1e-04,28.9,50,200,1,200,200,1,23601
"R0",1.5,1.5,10000,0.125,1e-04,29,50,200,1,200,200,1,23677
"R0",1.5,1.5,10000,0.125,1e-04,29.1,50,200,1,200,200,1,23830
"R0",1.5,1.5,10000,0.125,1e-04,29.2,50,200,1,200,200,1,23964
"R0",1.5,1.5,10000,0.125,1e-04,29.3,50,200,1,200,200,1,24002
"R0",1.5,1.5,10000,0.125,1e-04,29.4,50,200,1,200,200,1,24169
"R0",1.5,1.5,10000,0.125,1e-04,29.5,50,200,1,200,200,1,24234
"R0",1.5,1.5,10000,0.125,1e-04,29.6,50,200,1,200,200,1,24344
"R0",1.5,1.5,10000,0.125,1e-04,29.7,50,200,1,200,200,1,24535
"R0",1.5,1.5,10000,0.125,1e-04,29.8,50,200,1,200,200,1,24690
"R0",1.5,1.5,10000,0.125,1e-04,29.9,50,200,1,200,200,1,24833
"R0",1.5,1.5,10000,0.125,1e-04,30,50,200,1,200,200,1,24982
"R0",1.5,1.5,10000,0.125,1e-04,30.1,50,200,1,200,200,1,25194
"R0",1.5,1.5,10000,0.125,1e-04,30.2,50,200,1,200,200,1,25414
"R0",1.5,1.5,10000,0.125,1e-04,30.3,50,200,1,200,200,1,25606
"R0",1.5,1.5,10000,0.125,1e-04,30.4,50,200,1,200,200,1,25883
"R0",1.5,1.5,10000,0.125,1e-04,30.5,50,200,1,200,200,1,25958
"R0",1.5,1.5,10000,0.125,1e-04,30.6,50,200,1,200,200,1,26181
"R0",1.5,1.5,10000,0.125,1e-04,30.7,50,200,1,200,200,1,26381
"R0",1.5,1.5,10000,0.125,1e-04,30.8,50,200,1,200,200,1,26569
"R0",1.5,1.5,10000,0.125,1e-04,30.9,50,200,1,200,200,1,26741
"R0",1.5,1.5,10000,0.125,1e-04,31,50,200,1,200,200,1,26945
