"step","occupied_patches","global_I","local_extinctions","recolonizations"
85.6,146,43522,0,0
85.7,145,43373,1,0
85.8,145,43204,0,0
85.9,145,43022,0,0
86,145,42882,0,0
86.1,146,42735,0,1
86.2,146,42518,0,0
86.3,146,42313,0,0
86.4,146,42101,0,0
86.5,145,41749,1,0
86.6,146,41427,0,1
86.7,145,41050,1,0
86.8,144,40719,1,0
86.9,144,40447,0,0
87,144,39941,0,0
87.1,144,39510,0,0
87.2,144,39026,0,0
87.3,144,38675,0,0
87.4,144,38249,0,0
87.5,144,37802,0,0
87.6,144,37552,0,0
87.7,145,36905,0,1
87.8,145,36340,0,0
87.9,145,35904,0,0
88,143,35341,2,0
88.1,143,34826,0,0
88.2,144,34320,0,1
88.3,144,33950,0,0
88.4,144,33596,0,0
88.5,144,33274,0,0
88.6,144,32814,0,0
88.7,144,32534,0,0
88.8,144,32112,0,0
88.9,144,31825,0,0
89,144,31540,0,0
89.1,144,31179,0,0
89.2,144,30929,0,0
89.3,143,30756,1,0
89.4,143,30627,0,0
89.5,143,30396,0,0
89.6,143,30430,0,0
89.7,143,30271,0,0
89.8,143,30186,0,0
89.9,143,30065,0,0
90,144,30037,0,1
90.1,144,30052,0,0
90.2,144,30009,0,0
90.3,144,29968,0,0
90.4,144,29977,0,0
90.5,143,30224,1,0
90.6,143,30405,0,0
90.7,143,30504,0,0
90.8,143,30807,0,0
90.9,143,31149,0,0
91,143,31399,0,0
91.1,142,31774,1,0
91.2,142,32071,0,0
91.3,142,32556,0,0
91.4,141,33146,1,0
91.5,141,33690,1,1
91.6,140,34258,1,0
91.7,140,34880,0,0
91.8,140,35558,0,0
91.9,139,36276,1,0
92,139,37027,0,0
92.1,139,37872,0,0
92.2,139,38663,0,0
92.3,139,39392,0,0
92.4,139,40162,0,0
92.5,139,40880,0,0
92.6,140,41521,0,1
92.7,141,42261,0,1
92.8,141,42845,0,0
92.9,141,43421,0,0
93,140,43873,1,0
93.1,140,44262,0,0
93.2,140,44486,0,0
93.3,140,44642,0,0
93.4,140,44933,0,0
93.5,140,45014,0,0
93.6,140,44971,0,0
93.7,140,44908,0,0
93.8,140,44855,0,0
93.9,140,44807,0,0
94,141,44648,0,1
94.1,141,44531,0,0
94.2,140,44382,1,0
94.3,140,44354,0,0
94.4,140,44242,0,0
94.5,140,44054,0,0
94.6,141,44075,0,1
94.7,141,44038,0,0
94.8,141,44105,0,0
94.9,143,44014,0,2
95,143,44146,0,0
95.1,143,44291,0,0
95.2,142,44315,1,0
95.3,142,44344,0,0
95.4,142,44398,0,0
95.5,142,44458,0,0
95.6,142,44443,0,0
95.7,142,44554,0,0
95.8,142,44548,0,0
95.9,142,44591,0,0
96,141,44574,1,0
96.1,141,44632,0,0
96.2,142,44812,0,1
96.3,143,44823,0,1
96.4,142,44646,1,0
96.5,142,44584,0,0
96.6,142,44542,0,0
96.7,143,44630,0,1
96.8,142,44697,1,0
96.9,141,44797,1,0
97,141,44867,0,0
97.1,141,44900,0,0
97.2,141,45189,0,0
97.3,141,45361,0,0
97.4,141,45487,0,0
97.5,141,45508,0,0
97.6,141,45667,0,0
97.7,141,45726,0,0
97.8,141,45769,0,0
97.9,141,45868,0,0
98,141,45991,0,0
98.1,141,45762,0,0
98.2,141,45615,0,0
98.3,142,45617,0,1
98.4,141,45310,1,0
98.5,142,45284,0,1
98.6,141,45125,1,0
98.7,141,45047,1,1
98.8,141,44859,0,0
98.9,141,44662,0,0
