"combo_id","replicate","patch","episode_id","start_time","end_time","censoring_time","observed_duration","extinction_observed","T0","threshold_multiplier","fadeout_threshold","survived_beyond_threshold","early_extinction","fadeout","right_censored"
"smoke",1,14,4,1517,1590,3650,73,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,14,5,2662,2804,3650,142,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,1,0,106,3650,106,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,2,435,447,3650,12,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,3,726,795,3650,69,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,4,799,802,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,5,1175,1263,3650,88,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,6,2338,2339,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,7,2444,2547,3650,103,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,8,2930,2931,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,15,9,3326,3407,3650,81,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,16,1,0,66,3650,66,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,16,2,638,728,3650,90,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,16,3,782,790,3650,8,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,16,4,1589,1968,3650,379,TRUE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,TRUE,FALSE
"smoke",1,16,5,3305,3372,3650,67,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,16,6,3600,NA,3650,50,FALSE,128.684649154444,1.5,193.026973731666,FALSE,FALSE,FALSE,TRUE
"smoke",1,17,1,0,98,3650,98,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,17,2,1404,1475,3650,71,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,17,3,1784,1866,3650,82,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,17,4,1951,1958,3650,7,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,17,5,2194,2276,3650,82,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
