"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
30.5,192,8,0,0,8,0,1586,0,5824.4,0,0,0,0
30.6,192,8,0,0,8,0,1693,0,5853.475,0,0,0,0
30.7,192,8,0,0,8,0,1810,0,5883.245,0,0,0,0
30.8,192,8,0,0,8,0,1938,0,5912.26,0,0,0,0
30.9,192,8,0,0,8,0,2077,0,5941.32,0,0,0,0
31,192,8,0,0,8,0,2196,0,5970.67,0,0,0,0
31.1,192,8,0,0,8,0,2327,0,6000.005,0,0,0,0
31.2,192,8,0,0,8,0,2453,0,6028.725,0,0,0,0
31.3,192,8,0,0,8,0,2580,0,6057.32,0,0,0,0
31.4,192,8,0,0,8,0,2749,0,6086.375,0,0,0,0
31.5,192,8,0,0,8,0,2895,0,6114.73,0,0,0,0
31.6,192,8,0,0,8,0,3025,0,6142.68,0,0,0,0
31.7,192,8,0,0,8,0,3161,0,6169.785,0,0,0,0
31.8,192,8,0,0,8,0,3325,0,6197.59,0,0,0,0
31.9,192,8,0,0,8,0,3547,0,6224.59,0,0,0,0
32,192,8,0,0,8,0,3713,0,6252.075,0,0,0,0
32.1,192,8,0,0,8,0,3894,0,6279.91,0,0,0,0
32.2,192,8,0,0,8,0,4023,0,6306.92,0,0,0,0
32.3,192,8,0,0,8,0,4206,0,6333.605,0,0,0,0
32.4,192,8,0,0,8,0,4353,0,6360.455,0,0,0,0
32.5,192,8,0,0,8,0,4533,0,6386.575,0,0,0,0
32.6,192,8,0,0,8,0,4741,0,6413.455,0,0,0,0
32.7,191,9,0,0,9,0,4950,0,6439.875,0,1,0,0
32.8,191,9,0,0,9,0,5154,0,6466.575,0,0,0,0
32.9,191,9,0,0,9,0,5294,0,6492.15,0,0,0,0
33,191,9,0,0,9,0,5459,0,6518.165,0,0,0,0
33.1,191,9,0,0,9,0,5664,0,6544.58,0,0,0,0
33.2,191,9,0,0,9,0,5814,0,6569.785,0,0,0,0
33.3,191,9,0,0,9,0,5976,0,6594.87,0,0,0,0
33.4,191,9,0,0,9,0,6181,0,6619.565,0,0,0,0
33.5,191,9,0,0,9,0,6377,0,6644.065,0,0,0,0
33.6,191,9,0,0,9,0,6480,0,6669.05,0,0,0,0
33.7,191,9,0,0,9,0,6630,0,6693.365,0,0,0,0
33.8,191,9,0,0,9,0,6724,0,6718.205,0,0,0,0
33.9,191,9,0,0,9,0,6846,0,6742.185,0,0,0,0
34,191,9,0,0,9,0,6905,0,6765.515,0,0,0,0
34.1,191,9,0,0,9,0,6979,0,6789.625,0,0,0,0
34.2,191,9,0,0,9,0,7022,0,6813.295,0,0,0,0
34.3,191,9,0,0,9,0,7147,0,6836.645,0,0,0,0
34.4,191,9,0,0,9,0,7245,0,6860.005,0,0,0,0
34.5,191,9,0,0,9,0,7294,0,6882.29,0,0,0,0
34.6,191,9,0,0,9,0,7363,0,6905.65,0,0,0,0
34.7,191,9,0,0,9,0,7335,0,6928.015,0,0,0,0
34.8,191,9,0,0,9,0,7268,0,6950.84,0,0,0,0
34.9,191,9,0,0,9,0,7261,0,6972.69,0,0,0,0
35,191,9,0,0,9,0,7299,0,6994.965,0,0,0,0
35.1,191,9,0,0,9,0,7217,0,7016.835,0,0,0,0
35.2,191,9,0,0,9,0,7178,0,7039.11,0,0,0,0
